id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
100025,the-spellbent-keep,The Spellbent Keep,,5/27/2016,FALSE,8/28/2019 23:25,,0,0,0,0,0,209,0,0,PC,Billy Slang,RPG,,,0,0,0,0,0,0
100027,circuit-breakers-demo,Circuit Breakers - Demo,,9/2/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,142,0,0,PC,reel_big_kris,Shooter,,,0,0,0,0,0,0
100028,toadies-adventure,Toadie's Adventure,,3/30/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,99,0,0,PC,FelixBlobDev,Adventure||Platformer,,,0,0,0,0,0,0
100029,a-near-dawn-text-prototype,A Near Dawn: Text Prototype,,11/1/2017,FALSE,1/9/2019 12:41,,0,0,0,0,0,10,0,0,Web,Leonid Pilchin,Adventure,,,0,0,0,0,0,0
10003,naval-action,Naval Action,,1/21/2016,FALSE,11/4/2020 13:17,http://www.navalaction.com,0,5,15,0,4,342,0,5,PC,Game-Labs,Action||Adventure||Strategy||Simulation||Massively Multiplayer||Indie,Game-Labs,,2,49,2,1,1,0
100030,purify,Purify,,2/24/2017,FALSE,1/9/2019 12:41,,0,0,0,0,0,32,0,0,PC,Troy-Martens,Action,,,0,0,0,0,0,0
100031,dog-world,Dog World,,2/8/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,30,0,0,PC,Solomon Fletcher,RPG,,,0,0,0,0,0,0
100032,corra-snows,Corra Snows,,5/1/2016,FALSE,8/28/2019 23:25,,0,0,0,0,0,120,0,0,PC||macOS||Linux,Mauricio Felippe,Platformer,,,0,0,0,0,0,0
100033,graveyard-birds-itch,Graveyard Birds (itch),,5/17/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,173,0,0,PC||macOS,indspenceable,Puzzle,,,0,0,0,0,0,0
100034,dark-rogue,Dark Rogue,,3/23/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,62,0,0,PC||macOS||Linux,coffeemuggames,Adventure,,,0,0,0,0,0,0
100035,bullet-time,Bullet Time,,3/26/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,52,0,0,PC,Artefact,Shooter||Platformer,,,0,0,0,0,0,0
100037,la-boite-noire,La Boîte Noire,,4/25/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,7,0,0,Web,corpsmoderne,,,,0,0,0,0,0,0
100038,p-o-w-e-r-arm,p o w e r ARM,,7/31/2017,FALSE,1/9/2019 12:41,,0,0,0,0,0,130,0,0,PC||macOS||Linux,Xand,RPG,,,0,0,0,0,0,0
100039,oh-no-not-another-j-rpg,Oh No! Not Another J-RPG!,,10/9/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,132,0,0,PC||Web,bhimz,RPG,,,0,0,0,0,0,0
10004,mages-of-mystralia,Mages of Mystralia,75,5/17/2017,FALSE,9/17/2019 12:12,http://www.magesofmystralia.com,3.25,5,3,104,16,438,0,16,PC||Xbox One||PlayStation 4||Nintendo Switch,Borealys Games,Action||Adventure||Indie,Borealys Games,,32,564,10,9,3,2
100040,emissary,Emissary,,8/12/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,57,0,0,PC||macOS||Linux||Web,Handle,,,,0,0,0,0,0,0
100041,zeus-vs-monsters-math-game,Zeus vs Monsters - Math Game,,3/16/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,140,0,0,PC,Peaksel,Educational,,,0,0,0,0,0,0
100042,herboto-ld37,herboto - LD37,,12/13/2016,FALSE,8/28/2019 23:25,,0,0,0,0,0,27,0,0,PC,cottontrek,Shooter,,,0,0,0,0,0,0
100043,fish-forever,Fish Forever,,7/24/2015,FALSE,8/28/2019 23:25,,0,0,0,0,0,39,0,0,PC,Lethargic in the Park,,,,0,0,0,0,0,0
100045,what-do-we-eat-for-dinner,What Do We Eat for Dinner?,,1/28/2015,FALSE,8/28/2019 23:25,,0,0,0,0,0,125,0,0,PC||macOS||Linux,goofanader||adeeda,Simulation,,,0,0,0,0,0,0
100046,knight-of-days,Knight of Days,,10/7/2017,FALSE,8/28/2019 23:25,,0,0,0,0,0,100,0,0,PC,Vault of Tears Games,Action,,,0,0,0,0,0,0
100047,atomicollider,Atomicollider,,4/18/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,30,0,0,PC,seizethedia,Action,,,0,0,0,0,0,0
100048,torch-cave-itch,Torch Cave (itch),,6/7/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,245,0,0,PC,Crimson Duck Studios,Platformer,,,0,0,0,0,0,0
100049,lapis-azurai,Lapis Azurai,,7/24/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,130,0,0,Web,BlueWinds,,,,0,0,0,0,0,0
10005,seum-speedrunners-from-hell,SEUM: Speedrunners from Hell,,7/27/2016,FALSE,10/2/2020 2:35,http://www.seumgame.com,3.74,4,4,57,34,514,0,34,macOS||PC||Linux||PlayStation 4||Xbox One,Headup Games||Pine Studio,Action||Shooter||Adventure||Arcade||Indie,Headup Games,Teen,31,399,9,3,9,2
100050,bluman,BLUMAN,,7/9/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,42,0,0,Web,[astro station],Puzzle||Platformer,,,0,0,0,0,0,0
100051,the-rootkit-11,The Rootkit 1.1,,5/9/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,261,0,0,PC||macOS||Linux,Jana Games Studios,Strategy,,,0,0,0,0,0,0
100052,horatio-salt-and-the-book-of-the-dead,Horatio Salt and the Book of the Dead,,4/8/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,149,0,0,PC||macOS||Linux,Pigmeat,Adventure,,,0,0,0,0,0,0
100053,gobbo-goes-adventure,Gobbo goes adventure,,7/14/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,232,0,0,PC||Android,Roman,Adventure,,,0,0,0,0,0,0
100054,the-adventure,The Adventure,,8/16/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,20,0,0,Web,britzl,Platformer,,,0,0,0,0,0,0
100055,imperator-defence,Imperator Defence,,2/26/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,226,0,0,PC||macOS||Linux||Android,Rahul Martin,Strategy,,,0,0,0,0,0,0
100056,the-dream-self,The Dream Self,,10/24/2017,FALSE,1/9/2019 12:41,,0,0,0,0,0,48,0,0,PC||macOS,FMinuzzi,Simulation,,,0,0,0,0,0,0
100057,mainframe,MAINFRAME,,11/22/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,86,0,0,Web,autophagy,,,,0,0,0,0,0,0
100058,sunrises-pact,Sunrise's Pact,,8/25/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,26,0,0,PC||macOS,FafaStudio,Action,,,0,0,0,0,0,0
100059,slime-hunter,Slime Hunter,,10/10/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,42,0,0,PC,mutantcodpiece,Adventure,,,0,0,0,0,0,0
10006,frog-climbers,Frog Climbers,,10/6/2016,FALSE,9/17/2019 10:54,http://frogclimbers.com,0,0,3,0,3,343,0,3,PC,TeamCrew,Indie,Plug In Digital||Playdius||Plug In Digital Label,,9,113,0,1,1,0
100060,choice-chamber-itch,Choice Chamber (itch),,1/24/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,149,0,0,PC,onemrbean,Platformer,,,0,0,0,0,0,0
100061,dokidoki-fanmade,DokiDoki fanmade,,5/18/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,284,0,0,Web,LadyWilliam,,,,0,0,0,0,0,0
100062,push-pull,Push & Pull,,4/28/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,110,0,0,PC,ClayByte,Platformer,,,0,0,0,0,0,0
100063,micro-island,Micro Island,,4/11/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,19,0,0,PC,TakiTonfa,Platformer,,,0,0,0,0,0,0
100064,grab-bag,Grab Bag,,3/3/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,162,0,0,PC||macOS,AaronOldenburg,,,,0,0,0,0,0,0
100065,wetwork-itch,Wetwork (itch),,12/31/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,385,0,0,PC||macOS,serioussam909||The Embraced One,Action||Shooter,,,0,0,0,0,0,0
100066,alleyway-cat-street,Alleyway Cat Street,,9/17/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,75,0,0,PC,Maku Animeda,Adventure,,,0,0,0,0,0,0
100067,worlds-fastest-pizza-itch,World's Fastest Pizza (itch),,3/16/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,193,0,0,PC,Oscar Brittain,Action,,,0,0,0,0,0,0
100068,the-old-lie,The old lie,,9/4/2016,FALSE,8/28/2019 23:25,,0,0,0,0,0,79,0,0,PC,Fabulas Games,,,,0,0,0,0,0,0
100069,andoran-skye-xd-itch,Andoran Skye XD (itch),,3/10/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,212,0,0,PC,One Man Army Games,RPG,,,0,0,0,0,0,0
10007,operator-overload,Operator Overload,,,FALSE,8/28/2019 22:14,,0,0,1,14,1,79,0,1,Linux||PC||macOS,Benn Powell,Casual||Indie,Benn Powell,,0,5,0,0,0,1
100071,aloisius,Aloisius,,4/20/2018,FALSE,8/28/2019 23:25,,0,0,0,0,0,24,0,0,PC||macOS||Linux||Web,bippinbits,Strategy,,,0,0,0,0,0,0
100072,koji,Koji,,10/31/2015,FALSE,8/28/2019 23:25,,0,0,0,0,0,17,0,0,Web,Aaron Santiago,Action,,,0,0,0,0,0,0
100073,escape-takashi,Escape Takashi,,8/8/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,58,0,0,PC,Dealey,Action||Racing,,,0,0,0,0,0,0
100074,tender-was-the-knight,Tender Was the Knight,,8/13/2017,FALSE,8/28/2019 23:25,,0,0,0,0,0,38,0,0,PC,Brevitius,Puzzle,,,0,0,0,0,0,0
100075,stealth-fishing,Stealth Fishing,,9/30/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,95,0,0,PC||Web,William Baldwin,Simulation,,,1,1,0,0,0,0
100076,a-fraught-place,A Fraught Place,,1/31/2017,FALSE,1/9/2019 12:41,,0,0,0,0,0,175,0,0,PC,catapultfish,,,,0,0,0,0,0,0
